Case Number,Incident Datetime,Incident ID,Incident Type Primary,Incident Description,Parent Incident Type,Hour of Day,Day of Week,Address,City,State,Location,Latitude,Longitude,Created At,updated_at,zip_code,neighborhood,Council District,Council District 2011,Census Tract,Census Block Group,Census Block,2010 Census Tract ,2010 Census Block Group,2010 Census Block,Police District,TRACTCE20,GEOID20_tract,GEOID20_blockgroup,GEOID20_block
24-2501226,09/06/2024 11:20:04 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Friday,100 Block NORTHLAND AV,Buffalo,NY,POINT (-78.855 42.919),42.919,-78.855,09/06/2024 11:20:04 PM,,14208,Masten Park,MASTEN,MASTEN,168.02,1,1010,168,3,3009,District E,016802,36029016802,360290168021,360290168021010
24-2501133,09/06/2024 09:25:47 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Friday,300 Block WALDEN AV,Buffalo,NY,POINT (-78.825 42.904),42.904,-78.825,09/06/2024 09:25:47 PM,,14211,Genesee-Moselle,ELLICOTT,FILLMORE,29,4,4001,29,4,4001,District C,002900,36029002900,360290029004,360290029004001
24-2630130,09/19/2024 04:22:39 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,4,Thursday,7TH ST & JERSEY ST,Buffalo,NY,POINT (-78.892 42.899),42.899,-78.892,09/19/2024 04:22:39 AM,,14201,West Side,NIAGARA,ELLICOTT,70,2,2014,70,2,2010,District B,007000,36029007000,360290070002,360290070002014
25-0010363,01/01/2025 06:28:35 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,6,Wednesday,0 Block IVY ST,Buffalo,NY,POINT (-78.826 42.906),42.906,-78.826,01/01/2025 06:29:35 AM,,14211,Genesee-Moselle,ELLICOTT,FILLMORE,29,4,4002,29,4,4002,District C,002900,36029002900,360290029004,360290029004002
24-2980596,10/24/2024 01:43:18 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Thursday,500 Block POTOMAC AV,Buffalo,NY,POINT (-78.885 42.924),42.924,-78.885,10/24/2024 01:43:18 PM,,14213,Elmwood Bidwell,NIAGARA,NIAGARA,63.01,4,4007,63.01,4,4007,District D,006301,36029006301,360290063014,360290063014007
24-3040867,10/30/2024 06:06:41 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Wednesday,WADE AV & HOLDEN ST,Buffalo,NY,POINT (-78.835 42.937),42.937,-78.835,10/30/2024 06:07:41 PM,,14214,Fillmore-Leroy,MASTEN,MASTEN,40.03,3,3003,40.01,3,3003,District E,004003,36029004003,360290040033,360290040033003
24-3100033,11/05/2024 12:56:04 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Tuesday,200 Block OAKMONT AV,Buffalo,NY,POINT (-78.806 42.933),42.933,-78.806,11/05/2024 12:56:04 AM,,14215,Kenfield,UNIVERSITY,UNIVERSITY,44.02,1,1002,44.02,1,1001,District E,004402,36029004402,360290044021,360290044021002
25-0370803,02/06/2025 04:51:04 PM,,MANSLAUGHTER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Thursday,500 Block DODGE ST,Buffalo,NY,,,,02/06/2025 04:51:04 PM,,,,,,,,,,,,,,,,
25-0430319,02/12/2025 10:16:54 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Wednesday,200 Block JEFFERSON AV,Buffalo,NY,POINT (-78.854 42.882),42.882,-78.854,02/12/2025 10:16:54 AM,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,14.04,1,1002,14.02,2,2002,District B,001404,36029001404,360290014041,360290014041002
25-0240922,01/24/2025 08:00:28 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Friday,0 Block PENNSYLVANIA ST,Buffalo,NY,POINT (-78.893 42.897),42.897,-78.893,01/24/2025 08:02:28 PM,,14201,West Side,NIAGARA,ELLICOTT,70,2,2017,70,2,2019,District B,007000,36029007000,360290070002,360290070002017
